siteid,latitude_x,longitude_x,target_siteid,tos_field_ph,shire,stationCode,stationName,latitude_y,longitude_y,dateTime,rainfall.yearToDate
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2
2007190275,-30.312,119.021,TS0538,6.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2
2007190805,-31.846,119.999,TS0579,5.5,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,ME005,Moorine Rock,-31.4139944,119.0341806,2022-02-22,17.2
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,SB002,Muntadgin East,-31.735761,118.85894,2022-02-22,24.2
2007190890,-31.202,119.294,TS0553,8.0,yilgarn,YS,Yilgarn,-31.915622,119.256055,2022-02-22,34.8
2007190017,-20.719,120.924,TS0279,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190206,-20.855,119.766,TS0290,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190310,-20.204,121.314,TS0269,5.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190336,-23.173,120.02,TS0346,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190339,-22.444,119.664,TS0329,7.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190349,-20.857,120.689,TS0282,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190402,-21.343,119.352,TS0298,7.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190658,-20.772,120.737,TS0280,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190917,-22.646,119.969,TS0334,8.0,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190932,-22.861,120.289,TS0341,6.0,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007191436,-20.858,120.689,TS0282,6.5,east pilbara,PD,Pardoo,-19.98714,119.95279,2022-02-22,50.0
2007190018,-30.963,118.796,TS0554,6.5,westonia,BR,Bonnie Rock,-30.599684,118.531384,2022-02-22,37.4
2007190018,-30.963,118.796,TS0554,6.5,westonia,WS001,Westonia,-31.2283,118.5931,2022-02-22,44.6
2007190039,-27.533,115.217,TS0515,6.5,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6
2007190039,-27.533,115.217,TS0515,6.5,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0
2007190039,-27.533,115.217,TS0515,6.5,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0
2007190039,-27.533,115.217,TS0515,6.5,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0
2007190039,-27.533,115.217,TS0515,6.5,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0
2007190039,-27.533,115.217,TS0515,6.5,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4
2007190475,-27.63,114.249,TS0518,7.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6
2007190475,-27.63,114.249,TS0518,7.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0
2007190475,-27.63,114.249,TS0518,7.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0
2007190475,-27.63,114.249,TS0518,7.0,northampton,MEAN,Meanarra Tower,-27.698975,114.222944,2021-11-19,0.0
2007190475,-27.63,114.249,TS0518,7.0,northampton,NW001,Northampton West,-28.300442,114.508197,2022-02-22,0.0
2007190475,-27.63,114.249,TS0518,7.0,northampton,YU003,Yuna North,-28.120861,114.962611,2022-02-22,2.4
2007190693,-27.395,114.137,TS0634,7.0,northampton,BI,Binnu,-28.051,114.69575,2022-02-22,0.6
2007190693,-27.395,114.137,TS0634,7.0,northampton,BI002,Binnu West,-28.014442,114.406062,2022-02-22,0.0
2007190693,-27.395,114.137,TS0634,7.0,northampton,AWS,DBCA mobile/trailer AWS,-27.68678,114.26157,2018-11-02,0.0
