SITEID,LATITUDE,LONGITUDE,DUPLICATE,TARGET_SITEID,TOS_FIELD_PH,BOS_FIELD_PH
2007190216,-31.455,137.356,,TS0035,9.5,9.5
2007190217,-24.448,142.055,,TS1062,5,5
2007190218,-28.347,125.39,2007191348,TS0424,5.5,6
2007190219,-25.964,141.623,,TS1109,7.5,7.5
2007190221,-14.277,130.064,,TS0665,5.5,6.5
2007190222,-31.463,116.721,,TS0570,5.5,8.5
2007190223,-27.693,138.281,,TS0180,8.5,9
2007190224,-33.905,136.56,,TS0007,9.5,10
2007190225,-27.989,143.837,,TS1135,5.5,5.5
2007190226,-29.654,148.584,,TS1186,6,8
2007190227,-28.609,142.578,,TS1158,5.5,7.5
2007190228,-32.984,138.015,,TS0142,9,8.5
2007190229,-31.228,119.681,,TS0555,6.5,5.5
2007190230,-28.288,118.318,,TS0428,7.5,8
2007190231,-28.355,116.659,,TS0431,9,10
2007190232,-36.171,144.747,,TS1347,6.5,8.5
2007190233,-22.24,137.112,,TS0799,6,5.5
2007190234,-28.05,150.147,,TS1146,6,6
2007190235,-24.7,115.309,,TS0391,8,8
2007190237,-24.053,147.766,,TS1047,6,8.5
2007190238,-27.271,122.938,,TS0504,6.5,8
2007190239,-20.732,133.49,,TS0776,6.5,6.5
2007190241,-32.399,150.372,2007190978,TS1244,5.5,9.5
2007190242,-24.829,134.19,,TS0835,7,7.5
2007190243,-34.056,141.795,,TS1250,10,10
2007190244,-28.616,119.056,,TS0433,8.5,8.5
2007190245,-28.729,123.862,,TS0439,6.5,6.5
2007190246,-16.083,136.318,,TS0702,6,6
2007190248,-28.064,139.279,2007191198,TS0178,9.5,9
2007190249,-29.919,121.359,,TS0528,6.5,8
2007190251,-31.678,135.386,,TS0031,9.5,9.5
2007190252,-14.624,144.247,,TS0875,7,6.5
2007190253,-30.838,140.66,,TS0158,7,7.5
2007190256,-28.134,136.787,2007190875,TS0087,8,8.5
2007190257,-35.818,142.412,,TS1349,6.5,9
2007190258,-29.217,152.565,2007191176,TS1174,5,5.5
2007190259,-33.349,145.882,,TS1267,9,10
2007190261,-18.54,144.115,,TS0928,5,5
